"subtitle.id","subtitle","n.excl","n.interr","n.neg","n.afirm","joy","anger","anticipation","disgust","fear","sadness","surprise","trust","negative","positive","start","end","n.coincidencias"
207," Pero sé lo que elijo. ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1075.237,1076.987,0
208," Abandona tu sueño y muere. ",0,0,0,0,0,0,0,0,2,2,1,0,2,0,1079.107,1081.737,2
209," Guía a los reclutas al infierno. ",0,0,0,0,0,1,0,1,1,1,0,0,1,0,1081.737,1084.187,1
210," Yo mataré al titán bestia. ",0,0,0,0,0,2,0,0,2,1,0,0,2,0,1085.107,1088.217,2
211," ¡A la carga! ",1,0,0,0,0,0,0,0,0,0,0,0,1.1,0,1110.177,1111.757,1
212," Imaginé que no se rendirían sin pelear, ",0,0,2,0,0,0,0.9025,0,0,0,0,0,1.21,0,1116.837,1121.387,1
213," pero ¿una carga directa? ",0,1,0,0,0,0,0,0,0,0,0,0.95,1,1,1121.937,1123.687,2
214," Esperaba
que se les ocurriera algo mejor. ",0,0,0,0,1,0,1,0,0,0,1,1,0,1,1124.127,1127.527,1
215," ¡Ahora! ¡Disparen! ",2,0,0,0,0.1,0.14,0.08,0.06,0.06,0.08,0.2,0.06,0.14,0.08,1128.187,1130.697,0
216," ¿Humo? ",0,1,0,0,0,0,0,0,0,0,0,0,1,0,1134.707,1135.967,1
217," Es con el que envían las señales. ",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1136.617,1140.247,1
218," ¡Ahí va! ¡Muévanse! ",2,0,0,0,0.1,0.14,0.08,0.06,0.06,0.08,0.2,0.06,0.14,0.08,1140.817,1142.627,0
219," Les describiré
nuestra última estrategia. ",0,0,0,0,0,0,1,0,0,1,0,0,0,0,1146.787,1149.377,1
